level2,MaQH
badinh,1
hoankiem,2
tayho,3
longbien,4
caugiay,5
dongda,6
haibatrung,7
hoangmai,8
thanhxuan,9
socson,16
donganh,17
gialam,18
namtuliem,19
thanhtri,20
bactuliem,21
melinh,250
hadong,268
sontay,269
bavi,271
phuctho,272
danphuong,273
hoaiduc,274
quocoai,275
thachthat,276
chuongmy,277
thanhoai,278
thuongtin,279
phuxuyen,280
unghoa,281
myduc,282
hagiang,24
dongvan,26
meovac,27
yenminh,28
quanba,29
vixuyen,30
bacme,31
hoangsuphi,32
xinman,33
bacquang,34
quangbinh,35
caobang,40
baolam,42
baolac,43
haquang,45
trungkhanh,47
halang,48
quanghoa,49
hoaan,51
nguyenbinh,52
thachan,53
thanhphobackan,58
pacnam,60
babe,61
nganson,62
bachthong,63
chodon,64
chomoi,65
nari,66
tuyenquang,70
lambinh,71
nahang,72
chiemhoa,73
hamyen,74
yenson,75
sonduong,76
laocai,80
batxat,82
muongkhuong,83
simacai,84
bacha,85
baothang,86
baoyen,87
sapa,88
vanban,89
dienbienphu,94
thixamuonglay,95
muongnhe,96
muongcha,97
tuachua,98
tuangiao,99
dienbien,100
dienbiendong,101
muongang,102
nampo,103
laichau,105
tamduong,106
muongte,107
sinho,108
phongtho,109
thanuyen,110
tanuyen,111
namnhun,112
sonla,116
quynhnhai,118
thuanchau,119
muongla,120
bacyen,121
phuyen,122
mocchau,123
yenchau,124
maison,125
songma,126
sopcop,127
vanho,128
yenbai,132
nghialo,133
lucyen,135
vanyen,136
mucangchai,137
tranyen,138
tramtau,139
vanchan,140
yenbinh,141
hoabinh,148
dabac,150
luongson,152
kimboi,153
caophong,154
tanlac,155
maichau,156
lacson,157
yenthuy,158
lacthuy,159
thainguyen,164
songcong,165
dinhhoa,167
phuluong,168
donghy,169
vonhai,170
daitu,171
phoyen,172
phubinh,173
langson,178
trangdinh,180
binhgia,181
vanlang,182
caoloc,183
vanquan,184
bacson,185
huulung,186
chilang,187
locbinh,188
dinhlap,189
halong,193
mongcai,194
campha,195
uongbi,196
binhlieu,198
tienyen,199
damha,200
haiha,201
bache,202
vandon,203
dongtrieu,205
quangyen,206
coto,207
bacgiang,213
yenthe,215
tanyen,216
langgiang,217
lucnam,218
lucngan,219
sondong,220
yendung,221
vietyen,222
hiephoa,223
viettri,227
phutho,228
doanhung,230
hahoa,231
thanhba,232
phuninh,233
yenlap,234
camkhe,235
tamnong,236
lamthao,237
thanhson,238
thanhthuy,239
tanson,240
vinhyen,243
phucyen,244
lapthach,246
tamduong,247
tamdao,248
binhxuyen,249
yenlac,251
vinhtuong,252
songlo,253
bacninh,256
yenphong,258
quevo,259
tiendu,260
tuson,261
thuanthanh,262
giabinh,263
luongtai,264
haiduong,288
chilinh,290
namsach,291
kinhmon,292
kimthanh,293
thanhha,294
camgiang,295
binhgiang,296
gialoc,297
tuky,298
ninhgiang,299
thanhmien,300
hongbang,303
ngoquyen,304
lechan,305
haian,306
kienan,307
doson,308
duongkinh,309
thuynguyen,311
anduong,312
anlao,313
kienthuy,314
tienlang,315
vinhbao,316
cathai,317
bachlongvi,318
hungyen,323
vanlam,325
vangiang,326
yenmy,327
myhao,328
anthi,329
khoaichau,330
kimdong,331
tienlu,332
phucu,333
thaibinh,336
quynhphu,338
hungha,339
donghung,340
thaithuy,341
tienhai,342
kienxuong,343
vuthu,344
phuly,347
duytien,349
kimbang,350
thanhliem,351
binhluc,352
lynhan,353
namdinh,356
myloc,358
vuban,359
yyen,360
nghiahung,361
namtruc,362
trucninh,363
xuantruong,364
giaothuy,365
haihau,366
ninhbinh,369
tamdiep,370
nhoquan,372
giavien,373
hoalu,374
yenkhanh,375
kimson,376
yenmo,377
thanhhoa,380
bimson,381
samson,382
muonglat,384
quanhoa,385
bathuoc,386
quanson,387
langchanh,388
ngoclac,389
camthuy,390
thachthanh,391
hatrung,392
vinhloc,393
yendinh,394
thoxuan,395
thuongxuan,396
trieuson,397
thieuhoa,398
hoanghoa,399
hauloc,400
ngason,401
nhuxuan,402
nhuthanh,403
nongcong,404
dongson,405
quangxuong,406
nghison,407
vinh,412
cualo,413
thaihoa,414
quephong,415
quychau,416
kyson,417
tuongduong,418
nghiadan,419
quyhop,420
quynhluu,421
concuong,422
tanky,423
anhson,424
dienchau,425
yenthanh,426
doluong,427
thanhchuong,428
nghiloc,429
namdan,430
hungnguyen,431
hoangmai,432
hatinh,436
honglinh,437
huongson,439
ductho,440
vuquang,441
nghixuan,442
canloc,443
huongkhe,444
thachha,445
camxuyen,446
kyanh,447
locha,448
kyanh,449
thanhphodonghoi,450
minhhoa,452
tuyenhoa,453
quangtrach,454
botrach,455
quangninh,456
lethuy,457
badon,458
dongha,461
quangtri,462
vinhlinh,464
huonghoa,465
giolinh,466
dakrong,467
camlo,468
trieuphong,469
hailang,470
conco,471
hue,474
phongdien,476
quangdien,477
phuvang,478
huongthuy,479
huongtra,480
aluoi,481
phuloc,482
namdong,483
lienchieu,490
thanhkhe,491
haichau,492
sontra,493
nguhanhson,494
camle,495
hoavang,497
hoangsa,498
tamky,502
hoian,503
taygiang,504
donggiang,505
dailoc,506
dienban,507
duyxuyen,508
queson,509
namgiang,510
phuocson,511
hiepduc,512
thangbinh,513
tienphuoc,514
bactramy,515
namtramy,516
nuithanh,517
phuninh,518
nongson,519
quangngai,522
binhson,524
trabong,525
sontinh,527
tunghia,528
sonha,529
sontay,530
minhlong,531
nghiahanh,532
moduc,533
ducpho,534
bato,535
lyson,536
quynhon,540
anlao,542
hoainhon,543
hoaian,544
phumy,545
vinhthanh,546
tayson,547
phucat,548
annhon,549
tuyphuoc,550
vancanh,551
tuyhoa,555
songcau,557
dongxuan,558
tuyan,559
